Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
2018 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - 7 SEATER FULL LEATHER SEAT L R POWER SLIDE DOOR REAR MONITOR REAR AIRCOND CONTROL,"RM 1,060 / month","RM 81,800",Nissan Serena,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2017 BMW X5 2.0 xDrive40e M Sport SUV - SUNROOF HARMON KARDON SOUND POWER BOOT 1 OWNER,"RM 1,203 / month","RM 92,800",BMW X5,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Kia Cerato 1.6 K3 Sedan - NEW FACELIFT,RM 646 / month,"RM 49,800",Kia Cerato,115 - 120K KM,Automatic,"Kuala Lumpur, Cheras"
2015/2016 Volkswagen Jetta 1.4 TSI Sport Edition Sedan - FACELIFT - SPORTS BODYKIT - FULL SERVICE VW - WELL MAINTAIN -VIEW TO BELIEVE -HIGH LOAN,RM 362 / month,"RM 27,888",Volkswagen Jetta,75 - 80K KM,Automatic,"Kuala Lumpur, Salak Selatan"
"2018 Mercedes-Benz C350 e 2.0 Avantgarde AMG Line interior Sedan - Registered in (A) W205, 7G-TRONIC AVATGARDE AMG High Spec CKD Local Brand NEW by Malaysia 1 Owner","RM 1,423 / month","RM 109,800",Mercedes-Benz C350 e,85 - 90K KM,Automatic,"Penang, Greenlane"
"2018 Peugeot 3008 1.6 THP Allure SUV - HIGH SPEC FULL SERVICE , ORIGINAL GOOD CONDITION",RM 830 / month,"RM 63,999",Peugeot 3008,95 - 100K KM,Automatic,"Selangor, Puchong"
"2017 Kia Rio 1.4 X Sedan - , ORIGINAL GOOD CODITION , NEW FACELIFT",RM 298 / month,"RM 22,999",Kia Rio,75 - 80K KM,Automatic,"Selangor, Puchong"
"2013 Subaru XV 2.0 SUV - AUTO ,ONE OWNER, ACCIDENT FREE .LIKE NEW",RM 372 / month,"RM 28,700",Subaru XV,90 - 95K KM,Automatic,"Kuala Lumpur, Jalan Puchong"
"2014 Mazda 6 2.0 SKYACTIV-G Sedan - , FACELIFT ORIGINAL GOOD CONDITION , FREE ACCIDENT",RM 544 / month,"RM 41,999",Mazda 6,90 - 95K KM,Automatic,"Selangor, Puchong"
"2015 Mazda 6 2.0 SKYACTIV-G Sedan - ,High Spec, New Facelift , Original Good Condition Fully Import Model",RM 817 / month,"RM 62,999",Mazda 6,95 - 100K KM,Automatic,"Selangor, Puchong"
"2014 Mitsubishi ASX 2.0 SUV - FACELIFT (A)Fully Import Japan , Panaromic Roof , keyless Push Start",RM 467 / month,"RM 35,999",Mitsubishi ASX,95 - 100K KM,Automatic,"Selangor, Puchong"
"2016 Mazda 6 2.0 SKYACTIV-G Sedan - ,FACELIFT (A)FULLY IMPORT MODEL , GOOD CONDITION",RM 778 / month,"RM 59,999",Mazda 6,85 - 90K KM,Automatic,"Selangor, Puchong"
2015 Honda Civic 1.8 S i-VTEC Sedan - Facelift,RM 685 / month,"RM 52,800",Honda Civic,85 - 90K KM,Automatic,"Penang, Greenlane"
2019 Perodua AXIA 1.0 G Hatchback - (Percuma Warranty)(Percuma Siap Tukar Nama)()Tahun Dibuat )( Auto)(Biru)(Lady Owner)(Sport Rims)(Rear Spoiler),RM 373 / month,"RM 28,800",Perodua AXIA,85 - 90K KM,Automatic,"Selangor, Banting"
2018 Toyota Hilux 2.4 G Dual Cab Pickup Truck - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( G Auto)(Leather Seats)(Push Start)(1 Owner)(Silver),"RM 1,177 / month","RM 90,800",Toyota Hilux,87500 KM,Automatic,"Selangor, Banting"
2015 Honda City 1.5 V i-VTEC Sedan - (PercumaSiapTukarNama)(Percuma Warranty)(Tahun Dibuat )( )(Fyll Bodykits)(Fullest Spec)(Touch Screen)(Cruise Control),RM 594 / month,"RM 45,800",Honda City,85 - 90K KM,Automatic,"Selangor, Banting"
2014 Proton Saga 1.3 FLX Executive Sedan - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( )(DARK BLUE)(SportRims)(AndroidPlayer)(ReverseCamera)(SRS Airbags),RM 205 / month,"RM 15,800",Proton Saga,95 - 100K KM,Automatic,"Selangor, Banting"
2013 Perodua Alza 1.5 EZi MPV - (Auto) Good Condition,RM 350 / month,"RM 27,000",Perodua Alza,140 - 145K KM,Automatic,"Penang, Perai"
2013 Mazda 6 2.5 SKYACTIV-G Sedan - (A),RM 644 / month,"RM 49,700",Mazda 6,95965 KM,Automatic,"Selangor, Cheras"
2019 Toyota Vellfire 2.5 Z G Edition MPV,"RM 2,837 / month","RM 218,800",Toyota Vellfire,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2013 Land Rover Range Rover Evoque 2.0 Si4 Dynamic SUV,"RM 1,141 / month","RM 88,000",Land Rover Range Rover Evoque,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2013 BMW 520i 2.0 Sedan - (A) M Sport (With 1 Year Warranty),RM 817 / month,"RM 63,000",BMW 520i,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2017/2018 BMW 530i 2.0 M Sport Sedan - G30 Full Spec Like New Tip-Top Condition Smart Black Edition,"RM 1,814 / month","RM 139,900",BMW 530i,100 - 105K KM,Automatic,"Selangor, Seri Kembangan"
2015 Subaru XV 2.0 Premium SUV - FACELIFT (A) NO PROCESSING CHARGE,RM 490 / month,"RM 37,800",Subaru XV,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras"
2012/2013 Mercedes-Benz C200 CGI 1.8 AMG Sport Sedan - Mercedes Benz C200 (A) CGI BlueEFCY FACELIFT AMG LIMITED EDITION,RM 555 / month,"RM 42,800",N/A,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Toyota Vellfire 2.5 Z G Edition MPV - BIGSALE FULL SPEC MODELLISTA FULL SPEC 3 EYES SUNROOF 2PD PB,"RM 3,214 / month","RM 247,888",Toyota Vellfire,25 - 30K KM,Automatic,"Selangor, Puchong"
2019 Toyota Vellfire 2.5 MPV - BIGSALE X CONVERTED ZG FACELIFT Android MODELLISTA 7S 2PD 4WD Captain SEATS,"RM 3,097 / month","RM 238,888",Toyota Vellfire,30 - 35K KM,Automatic,"Selangor, Puchong"
"2019 Mercedes-Benz C200 1.5 Avantgarde Sedan - , like new ,one owner ,accident free year make","RM 1,841 / month","RM 142,000",Mercedes-Benz C200,90 - 95K KM,Automatic,"Selangor, Puchong"
2013 Honda Civic 2.0 S i-VTEC Sedan - 1 Year Warranty,RM 516 / month,"RM 39,800",Honda Civic,100 - 105K KM,Automatic,"Kuala Lumpur, Old Klang Road"
"2015 Honda HR-V 1.8 i-VTEC S SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 646 / month,"RM 49,800",Honda HR-V,100 - 105K KM,Automatic,"Penang, Sungai Nibong"
"2014 Volkswagen Jetta 1.4 TSI Sedan - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 347 / month,"RM 26,800",Volkswagen Jetta,90 - 95K KM,Automatic,"Penang, Sungai Nibong"
"2016 Mazda 2 1.5 SKYACTIV-G Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 607 / month,"RM 46,800",Mazda 2,85 - 90K KM,Automatic,"Penang, Sungai Nibong"
"2014 Mazda CX-5 2.0 SKYACTIV-G High Spec SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 697 / month,"RM 53,800",Mazda CX-5,95 - 100K KM,Automatic,"Penang, Sungai Nibong"
"2017 Perodua Bezza 1.3 Advance Premium Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 425 / month,"RM 32,800",Perodua Bezza,110 - 115K KM,Automatic,"Penang, Sungai Nibong"
"2014 Nissan Sylphy 1.8 VL Sedan - (A) - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 464 / month,"RM 35,800",Nissan Sylphy,120 - 125K KM,Automatic,"Penang, Sungai Nibong"
"2017 Honda CR-V 1.5 TC-P VTEC SUV - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 1,281 / month","RM 98,800",Honda CR-V,85 - 90K KM,Automatic,"Penang, Sungai Nibong"
"2019 Proton X70 1.8 TGDI Executive SUV - REMARK-1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 827 / month,"RM 63,800",Proton X70,85 - 90K KM,Automatic,"Penang, Sungai Nibong"
2020 Toyota Granace 2.8 MPV - Carlist Qualified Premium,"RM 3,863 / month","RM 298,000",N/A,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2018/2019 Mazda CX-3 2.0 SKYACTIV GVC SUV - FACELIFT CBU FROM JAPAN IMPORT BARU UNIT FULL SERVICE RECORD LOW MILEAGE,"RM 1,076 / month","RM 82,999",Mazda CX-3,50 - 55K KM,Automatic,"Selangor, Puchong"
"2018/2022 MINI 3 Door 2.0 John Cooper Works Hatchback - FACELIFT MODEL, REGISTER 2022 RECOND FROM JAPAN, CAR KING OFFER RAMADHAN SALE","RM 1,945 / month","RM 149,999",MINI 3 Door,35 - 40K KM,Automatic,"Selangor, Puchong"
"2019 Honda Jazz 1.5 E i-VTEC Hatchback - SUPER LOW MILEAGE FULL SERVICE RECORD 3XK ONLY, FACELIFT MODEL WARRANTY PROVIDED",RM 817 / month,"RM 62,999",Honda Jazz,30 - 35K KM,Automatic,"Selangor, Puchong"
"2020 Honda Civic 1.8 S i-VTEC Sedan - FACELIFT MODEL, TYPE R BODYKITS, RAYA OFFER","RM 1,206 / month","RM 92,999",Honda Civic,25 - 30K KM,Automatic,"Selangor, Puchong"
"2016 Nissan Almera 1.5 VL Sedan - FACELIFT MODEL, NISMO BODYKITS, 1 OWNER CAR KING WARRANTY PROVIDED, RAYA SALE",RM 389 / month,"RM 29,999",Nissan Almera,95 - 100K KM,Automatic,"Selangor, Puchong"
"2015/2020 Lexus IS250 2.5 F Sport Sedan - SUNROOF, 2 TONE LEATHER SEAT, REGISTER 2020, FACELIFT BODYKITS, NICE CALIPERS","RM 1,815 / month","RM 139,999",Lexus IS250,80 - 85K KM,Automatic,"Selangor, Puchong"
2014 Perodua Alza 1.5 SE MPV - (FreeWarranty)(FreeSiapTkrNama)(TahunDibuat)( )(WHITE)(7aters)(Full Bodykits)(Low Mileage)(ZS Facelift)(SportRims)(1LadyOwner),RM 438 / month,"RM 33,800",Perodua Alza,90 - 95K KM,Automatic,"Selangor, Banting"
2013 Proton Preve 1.6 CFE Premium Sedan - (Free Warranty)(Free Siap Tukar Nama)(Tahun Dibuat )( Turbo)(SILVER)(SportRims)(PaddleShift)(PushStart),RM 244 / month,"RM 18,800",Proton Preve,130 - 135K KM,Automatic,"Selangor, Banting"
2015 Honda Accord 2.4 i-VTEC Sedan - (Percuma Warranty)(Percuma Siap Tukar Nama)(Tahun Dibuat )( )(MODULO Bodykits)(Leather Seats)(EARTH DREAMS),RM 749 / month,"RM 57,800",Honda Accord,115 - 120K KM,Automatic,"Selangor, Banting"
2017 Honda City 1.5 S i-VTEC Sedan - (FreeWarranty)(FreeSiapTkrNama)(Tahun Dibuat )( New FACELIFT)(SILVER)(PUSH START)(SPORTRIMS)(1 LADY OWNER)(ANDROID PLAYER),RM 672 / month,"RM 51,800",Honda City,70 - 75K KM,Automatic,"Selangor, Banting"
2013 Proton Saga 1.3 FLX Standard Sedan - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( FLX Auto)(Silver)(One Lady Owner),RM 185 / month,"RM 14,300",Proton Saga,115 - 120K KM,Automatic,"Selangor, Banting"
2019 BMW X1 2.0 sDrive20i Sport Line SUV,"RM 1,491 / month","RM 115,000",BMW X1,30 - 35K KM,Automatic,"Johor, Johor Bahru"
2019 BMW 530i 2.0 M Sport Sedan,"RM 2,463 / month","RM 190,000",BMW 530i,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2019 Volkswagen Tiguan 1.4 280 TSI Highline SUV,"RM 1,164 / month","RM 89,800",Volkswagen Tiguan,65 - 70K KM,Automatic,"Johor, Johor Bahru"
"2022 Toyota Alphard 2.5 G S C Package MPV - MODELLISTA WTY 2025 ,CRYSTAL WHITE IN COLOUR,POWER BOOT, FULL LEATHER SEATS,REVERSE CAMERA,ONE DATIN OWNER","RM 3,092 / month","RM 238,500",Toyota Alphard,25 - 30K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2013 Kia Cerato 1.6 Sedan - FULL LEATHER MEMORY SEAT,RM 334 / month,"RM 25,800",Kia Cerato,140 - 145K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Mazda 6 2.5 SKYACTIV-G Sedan - BOSE SOUND SYSTEM,RM 555 / month,"RM 42,800",Mazda 6,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Volkswagen Beetle 1.2 TSI Coupe - The FULL SERVICE,RM 594 / month,"RM 45,800",Volkswagen Beetle,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Volkswagen Beetle 1.2 TSI Coupe - The WELL MAINTAIN,RM 581 / month,"RM 44,800",Volkswagen Beetle,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
"2017 Mercedes-Benz C200 2.0 AMG Sedan - , 60K KM FULL SERVICE RECORD , WELL KEPT , SHOWROOM CONDITION","RM 1,724 / month","RM 133,000",Mercedes-Benz C200,55 - 60K KM,Automatic,"Selangor, Petaling Jaya"
2019 Haval H2 1.5 Premium SUV - COMFIRM TURBO (A),RM 594 / month,"RM 45,800",Haval H2,50 - 55K KM,Automatic,"Selangor, Kajang"
2017 Land Rover Range Rover Sport 5.0 SVR SUV - FACELIFT 575BHP 1YR Warranty No Processing Fee No Accident No Flood 2018,"RM 6,482 / month","RM 499,999",Land Rover Range Rover Sport,40 - 45K KM,Automatic,"Kuala Lumpur, TTDI"
2015 Mercedes-Benz GLA200 1.6 SUV - Y MERCEDES BENZ Facelift TURBO LIKE NEW,"RM 1,035 / month","RM 79,800",Mercedes-Benz GLA200,80 - 85K KM,Automatic,"Kuala Lumpur, Ampang Hilir"
"2017/2019 Lexus RX200t 2.0 F Sport SUV - IMPORT RECOND, REGISTER 2019, HIGHEST SPEC, RED INTERIOR, SUNROOF, POWER BOOT, PRE CRASH RX 300 WARRANTY PROVIDED","RM 2,852 / month","RM 219,999",Lexus RX200t,65 - 70K KM,Automatic,"Selangor, Puchong"
2021 Ford MUSTANG 2.3 High Performance Coupe - Unregister New Facelift 330hp 10-Speed Auto B O Sound System Apple Carplay Digital Meter Exhaust Sport,"RM 3,604 / month","RM 278,000",Ford MUSTANG,35 - 40K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Toyota Vellfire 2.5 Z A Edition MPV,"RM 2,020 / month","RM 155,800",Toyota Vellfire,135 - 140K KM,Automatic,"Selangor, Puchong"
2017 Toyota Camry 2.5 Hybrid Luxury Sedan - FACELIFT WARRANTY,"RM 1,035 / month","RM 79,800",Toyota Camry,85 - 90K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Volkswagen Tiguan 1.4 280 TSI Highline SUV - POWER BOOT MEMORY SEAT PADDLE SHIFT,"RM 1,112 / month","RM 85,800",Volkswagen Tiguan,65 - 70K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Kia Cerato 2.0 Sedan - SUN ROOF NO PROCESSING CHARGE,RM 373 / month,"RM 28,800",Kia Cerato,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Mercedes-Benz A250 2.0 Sport Hatchback - AMG (A) NO PROCESSING CHARGE 1 OWNER,"RM 1,086 / month","RM 83,800",Mercedes-Benz A250,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2021 Toyota Granace 2.8 Premium MPV - Carlist Qualified 8 Seater,"RM 3,993 / month","RM 308,000",N/A,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified G,"RM 2,308 / month","RM 178,000",N/A,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Granace 2.8 Premium MPV - Carlist Qualified,"RM 3,993 / month","RM 308,000",N/A,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified Low miles 5A,"RM 2,437 / month","RM 188,000",N/A,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Lexus RX300 2.0 F Sport SUV,"RM 3,863 / month","RM 298,000",N/A,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2022 Toyota Noah 2.0 S-Z MPV - Carlist Qualified G,"RM 2,308 / month","RM 178,000",N/A,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified SC FULLY SPEC,"RM 3,695 / month","RM 285,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2014 Perodua Myvi 1.3 SX Hatchback - Y (M) like new,RM 218 / month,"RM 16,800",Perodua Myvi,75 - 80K KM,Manual,"Kuala Lumpur, Ampang Hilir"
2013 Mercedes-Benz A250 2.0 Sport Hatchback - LOCAL (WITH 1 YEAR WARRANTY),RM 958 / month,"RM 73,888",Mercedes-Benz A250,85 - 90K KM,Automatic,"Selangor, Klang"
2015 Mazda 2 1.5 SKYACTIV-G Sedan - (A),RM 542 / month,"RM 41,800",Mazda 2,105 - 110K KM,Automatic,"Penang, Bukit Mertajam"
2015 Proton Perdana 2.0 E Sedan - (A),RM 490 / month,"RM 37,800",Proton Perdana,95 - 100K KM,Automatic,"Penang, Bukit Mertajam"
2021 Lexus RX300 2.0 F Sport SUV,"RM 3,863 / month","RM 298,000",N/A,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
"2013 Volkswagen Jetta 1.4 TSI Sedan - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 296 / month,"RM 22,800",Volkswagen Jetta,120 - 125K KM,Automatic,"Penang, Sungai Nibong"
2017 MINI Clubman 2.0 John Cooper Works Wagon - ALL4 LOCAL JCW (FULL SERVICE RECORD 43K KM HARMAN KARDON JCW BREMBO HEADUP DISPLAY) 2018,"RM 2,449 / month","RM 188,888",MINI Clubman,40 - 45K KM,Automatic,"Selangor, Klang"
2021 Mazda CX-8 2.5 SKYACTIV-G Mid SUV - Y G MID FSR U WRRNTY LIKE NEW,"RM 1,761 / month","RM 135,800",N/A,70 - 75K KM,Automatic,"Kuala Lumpur, Ampang Hilir"
2016 Mercedes-Benz C350 e 2.0 Avantgarde AMG Line interior Sedan - AMG Hybrid Warranty 2025 360 Camera 19 R Multi-Spoke AMG Wheel Burmester Sound System Smooth Engine Clean Interior,"RM 1,296 / month","RM 99,999",Mercedes-Benz C350 e,95 - 100K KM,Automatic,"Kuala Lumpur, Cheras"
2016/2017 Audi Q3 1.4 TFSI SUV - Facelift (POWER BOOT)(1 Year Warranty)(SuperB condition),RM 902 / month,"RM 69,588",Audi Q3,75 - 80K KM,Automatic,"Selangor, Seri Kembangan"
2015 Mercedes-Benz A45 AMG 2.0 4MATIC Hatchback,"RM 2,124 / month","RM 163,800",Mercedes-Benz A45 AMG,80 - 85K KM,Automatic,"Selangor, Kajang"
2016 Renault Koleos 2.5 SUV - Auto Tip top condition,RM 763 / month,"RM 58,888",N/A,60 - 65K KM,Automatic,"Selangor, Puchong"
2014 Proton Saga 1.3 FLX Executive Sedan - (Percuma Warranty)(Percuma Siap Tuykar Nama)(Tahun Dibuat )( )(Auto)(One Owner),RM 205 / month,"RM 15,800",Proton Saga,105 - 110K KM,Automatic,"Selangor, Banting"
2019 Proton Saga 1.3 Premium Sedan - (Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( Auto)(Leather Seats)(Android Player)(Reverse Camera),RM 360 / month,"RM 27,800",Proton Saga,70 - 75K KM,Automatic,"Selangor, Banting"
2016 Honda City 1.5 E i-VTEC Sedan - (Full Service Record)(Percuma Siap Tukar Nama)(Percuma Warranty)(Tahun Dibuat )( Auto)(Push Start)(Rear AirCond,RM 594 / month,"RM 45,800",Honda City,85 - 90K KM,Automatic,"Selangor, Banting"
2018 Perodua Myvi 1.3 X Hatchback - (Percuma Warranty)(Percuma SIap Tukar Nama)(Tahun Dibuat )( Auto)(Rear Spoiler)(Lady Owner)(Push Start)(Warna Puteh),RM 490 / month,"RM 37,800",Perodua Myvi,65 - 70K KM,Automatic,"Selangor, Banting"
2013/2014 Honda Accord 2.0 i-VTEC VTi Sedan - Cash Out 10k Free 1 Year Warranty,RM 581 / month,"RM 44,800",Honda Accord,130 - 135K KM,Automatic,"Penang, Greenlane"
"2013 Toyota Vios 1.5 E Sedan - NEW YEAR OFFER , 1 LADY OWNER, SUPER CONDITION, RECORD SERVIS ADA, HARGA OFFER NEGO SAMPAI JADI, LEATHER SEAT",RM 415 / month,"RM 31,999",Toyota Vios,115 - 120K KM,Automatic,"Selangor, Puchong"
"2014/2016 Land Rover Range Rover Sport 3.0 HSE Dynamic SUV - RANGE ROVER SVR BODYKITS , POWER BOOT, AIR SUSPENSION SUPERCHARGED","RM 2,593 / month","RM 199,999",Land Rover Range Rover Sport,85 - 90K KM,Automatic,"Selangor, Puchong"
"2014 Kia Sportage 2.0 SUV - , PANAROMIC SUNROOF, ELECTRIC LEATHER SEAT, REVERSE CAMERA, KING, NEGO SAMPAI OFFER, PROVIDED WARRANTY",RM 493 / month,"RM 37,999",Kia Sportage,120 - 125K KM,Automatic,"Selangor, Puchong"
"2013 Kia Optima K5 2.0 Sedan - , KEYLESS PUSH START, 6 SPEED AUTO, SUNROOF, CBU IMPORT BARU, CAR KING CONDITION, OFFER NOW",RM 480 / month,"RM 36,999",Kia Optima K5,95 - 100K KM,Automatic,"Selangor, Puchong"
"2014 Hyundai Tucson 2.0 Sport SUV - , PANAROMIC SUNROOF, KEYLESS PUSH START, LEATHER SEAT, ANDROID PLAYER, CAR KING",RM 467 / month,"RM 35,999",Hyundai Tucson,90 - 95K KM,Automatic,"Selangor, Puchong"
2013/2014 Volkswagen Golf 2.0 GTi Pure Hatchback - GTi Just Serviced Free Wrnty 1 Owner,"RM 1,113 / month","RM 85,888",Volkswagen Golf,100 - 105K KM,Automatic,"Selangor, Petaling Jaya"
2015 BMW 320i 2.0 Sport Line Sedan,"RM 1,035 / month","RM 79,800",BMW 320i,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2019 Honda Civic 1.8 S i-VTEC Sedan,"RM 1,164 / month","RM 89,800",Honda Civic,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2016 Honda Civic 1.5 TC VTEC Premium Sedan,"RM 1,125 / month","RM 86,800",Honda Civic,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2014 Mercedes-Benz A200 1.6 Hatchback,RM 983 / month,"RM 75,800",Mercedes-Benz A200,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2017/2019 Proton Perdana 2.4 Sedan - K24 ELECTRIC LEATHER SEAT PADDLE SHIFT MICHELIN TYRE,RM 581 / month,"RM 44,800",Proton Perdana,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2020/2021 Mitsubishi Triton 2.4 VGT Dual Cab Pickup Truck - VGT HS FULL SERVICE RECORD UNDER WARRANTY TILL 2025 NO OFF ROAD PUSHSTART 4X4,"RM 1,190 / month","RM 91,800",Mitsubishi Triton,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Honda Accord 2.0 i-VTEC VTi-L Sedan - FULL SERVICE 1 OWNER,RM 736 / month,"RM 56,800",Honda Accord,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2017 Volkswagen Passat 1.8 280 TSI Comfortline Plus Sedan - WARRANTY LEATHER SEAT,RM 697 / month,"RM 53,800",Volkswagen Passat,55 - 60K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Mercedes-Benz C200 1.5 Avantgarde Sedan,"RM 1,968 / month","RM 151,800",Mercedes-Benz C200,55 - 60K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Honda City 1.5 E i-VTEC Sedan - PUSHSTART ECON MODE,RM 464 / month,"RM 35,800",Honda City,140 - 145K KM,Automatic,"Kuala Lumpur, Cheras"
"2014 Peugeot 208 1.6 Allure Hatchback - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL",RM 257 / month,"RM 19,800",Peugeot 208,95 - 100K KM,Automatic,"Penang, Sungai Nibong"
"2017 BMW X1 2.0 sDrive20i Sport Line SUV - sDrive20i - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 1,151 / month","RM 88,800",BMW X1,120 - 125K KM,Automatic,"Penang, Sungai Nibong"
"2017 Mercedes-Benz GLC200 2.0 Exclusive SUV - X253 - 1 YEAR WARRANTY WITH CERTIFIED INSPECTION REPORT, CALL US NOW FOR BEST DEAL","RM 2,072 / month","RM 159,800",N/A,85 - 90K KM,Automatic,"Penang, Sungai Nibong"
2018 Honda Jazz 1.5 E i-VTEC Hatchback - (A) 1 YEAR WARRANTY,RM 775 / month,"RM 59,800",Honda Jazz,85 - 90K KM,Automatic,"Penang, Bukit Mertajam"
2017 MINI Countryman 2.0 Cooper S SUV - (A),"RM 1,774 / month","RM 136,800",MINI Countryman,85 - 90K KM,Automatic,"Penang, Bukit Mertajam"
2014 Audi Q5 2.0 TFSI Quattro SUV - CASH OTR (A) PADDLE SHIFT PUSH START POWER BOOT 1 YEAR WARRANTY,RM 594 / month,"RM 45,800",Audi Q5,85 - 90K KM,Automatic,"Selangor, Klang"
2015/2020 Toyota Harrier 2.0 Elegance SUV - 2020 - - - Modellista Body Kit - Alpine Players - One Year Warranty,"RM 1,229 / month","RM 94,800",Toyota Harrier,80 - 85K KM,Automatic,"Kuala Lumpur, Tmn Desa"
"2014 Mitsubishi ASX 2.0 SUV - , PANAROMIC ROOF , PUSH START , LEATHER SEAT, FULL JAPAN IN",RM 441 / month,"RM 33,999",Mitsubishi ASX,90 - 95K KM,Automatic,"Selangor, Puchong"
2015 Mercedes-Benz E300 2.1 BlueTEC Sedan,RM 853 / month,"RM 65,800",Mercedes-Benz E300,130 - 135K KM,Automatic,"Johor, Johor Bahru"
"2013 Hyundai Sonata 2.0 Executive Plus Sedan - RAYA SALE PANORAMIC SUNROOF, LF MODEL, CAR KING CONDITION, COME WITH WARRANTY, NEGO UNTIL LET GO",RM 363 / month,"RM 27,999",Hyundai Sonata,105 - 110K KM,Automatic,"Selangor, Puchong"
2020/2021 Proton X70 1.8 TGDI Premium SUV - (CKD) FULL SPEC DCT 7-SPEED GEAR BOX NAPPA LEATHER SEAT,RM 944 / month,"RM 72,800",Proton X70,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2016/2017 Isuzu D-Max 2.5 Dual Cab Pickup Truck - SINGLE CAP 2-DOOR DMAX 4x4 SPEC HILUX NAVARA TRITON RANGER,RM 697 / month,"RM 53,800",Isuzu D-Max,75 - 80K KM,Manual,"Selangor, Seri Kembangan"
2020 Toyota Granace 2.8 MPV - Carlist Qualified,"RM 3,863 / month","RM 298,000",N/A,30 - 35K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
