Description,Monthly_Installment,List_Price,Model,Milleage,Gear_Type,Location
"2019 Mercedes-Benz S450L 3.0 AMG Line Sedan - MERCEDES BENZ S450 L NO HYBRID AMG WTY 2025 ,CRYSTAL BLACK IN COLOUR,SELDOM USE,POWER BOOT,ONE OF DATO OWNER","RM 4,129 / month","RM 318,500",N/A,110 - 115K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2020 Ford MUSTANG 5.0 GT Coupe - WTY 2025 2021,CRYSTAL RED IN COLOUR,REVERSE CAMERA, STEERING, SPORT RIM,RECARO SEATS,ONEOF DATIN OWNER","RM 3,614 / month","RM 278,800",Ford MUSTANG,10 - 15K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2018 Land Rover Range Rover 3.0 P400 Vogue SE SUV - VOGUE DIESEL WTY 2025 ,CRYSTAL BLACK IN COLOUR,PANAROMIC ROOF,POWER BOOT,ONE OF DATO VIP OWNER","RM 2,962 / month","RM 228,500",N/A,80 - 85K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2014 Porsche Cayman 2.7 Coupe - GTS WTY 2025 2019,CRYSTAL BLACK IN COLOUR,SMOOTH ENGINE GEAR BOX,SELDOM USE,ONEOF DATIN OWNER","RM 2,962 / month","RM 228,500",Porsche Cayman,65 - 70K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2017 MINI 5 Door 1.5 Cooper Hatchback - CLUBMAN WTY 2025 ,CRYSTAL GREY IN COLOUR,PUSH START,SMOOTH ENGINE GEAR BOX,ONE OF DATIN OWNER","RM 1,407 / month","RM 108,500",N/A,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2016 Land Rover Range Rover Sport 3.0 HST SUV - SVR WTY 2025 , CRYSTAL BLACK IN COLOUR,POWER BOOT,SMOOTH ENGINE GEAR BOX,ONE OF VIP OWNER","RM 3,351 / month","RM 258,500",Land Rover Range Rover Sport,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
"2014/2018 Porsche Macan 3.0 S SUV - GTS NEW FACELIFT 2025 2018 ,CRYSTAL WHITE IN COLOUR,FULL LEATHER SEAT BLACK IN COLOUR,PANORAMIC ROOF,ONE OF DATIN OWNER","RM 2,962 / month","RM 228,500",Porsche Macan,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2021 Toyota Harrier 2.0 SUV - Luxury BSM DIM POWER BOAT Rear Camera 18 Rim UNREG GRADE 4.5,"RM 2,295 / month","RM 177,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Cheras"
2013 Perodua Myvi 1.3 EZi Hatchback,RM 296 / month,"RM 22,800",Perodua Myvi,105 - 110K KM,Automatic,"Selangor, Klang"
2014 Honda Jazz 1.5 E i-VTEC Hatchback,RM 542 / month,"RM 41,800",Honda Jazz,90 - 95K KM,Automatic,"Selangor, Klang"
